datetime,Energy(Kwh),Speed(m/s),Direction
2019-05-01T00:10:00,"0,47","3,44",15
2019-05-01T00:20:00,"6,20","3,57",19
2019-05-02T00:20:00,"0,10","3,44",12
2019-05-03T00:20:00,"0,56","3,09",28
2019-05-04T00:20:00,"0,33","3,38",23
2019-05-05T00:20:00,"0,00","3,40",10
2019-05-06T00:20:00,"0,00","3,10",4
2019-05-07T00:20:00,"0,00","3,34",1
2019-05-08T00:20:00,"0,00","3,04",2
2019-05-09T00:20:00,"0,00","2,80",14
2019-05-10T00:20:00,"0,00","3,50",8
2019-05-11T00:20:00,"0,00","3,25",5
2019-05-12T00:20:00,"0,00","2,65",15
2019-05-13T00:20:00,"0,00","2,77",14
2019-05-14T00:20:00,"0,00","2,50",26
2019-05-15T00:20:00,"0,00","2,28",28
2019-05-16T00:20:00,"0,00","2,67",27
2019-05-17T00:20:00,"0,00","2,19",34
2019-05-18T00:20:00,"0,00","3,05",24
2019-05-19T00:20:00,"0,00","2,60",359
2019-05-20T00:20:00,"0,00","2,89",5
2019-05-21T00:20:00,"0,00","3,41",5
2019-05-22T00:20:00,"0,00","2,79",341
2019-05-23T00:20:00,"0,00","2,27",353
2019-05-24T00:20:00,"0,00","2,55",337
2019-05-25T00:20:00,"0,00","2,17",0
2019-05-26T00:20:00,"0,00","2,80",13
2019-05-27T00:20:00,"0,04","3,17",10
2019-05-28T00:20:00,"0,03","3,75",9
2019-05-29T00:20:00,"12,25","4,93",7
2019-05-30T00:20:00,"17,05","5,23",7
2019-05-31T00:20:00,"1,85","4,43",11
2019-06-01T00:20:00,"0,03","4,46",10
2019-06-02T00:20:00,"0,76","4,18",10
2019-06-03T00:20:00,"6,11","4,89",10
2019-06-04T00:20:00,"36,47","5,47",8
2019-06-05T00:20:00,"3,08","4,90",6
2019-06-06T00:20:00,"31,59","5,30",2
2019-06-07T00:20:00,"1,89","4,45",353
2019-06-08T00:20:00,"0,73","3,88",357
2019-06-09T00:20:00,"6,47","4,27",359
2019-06-10T00:20:00,"3,78","4,46",2
2019-06-11T00:20:00,"42,44","5,47",7
2019-06-12T00:20:00,"164,62","6,41",8
2019-06-13T00:20:00,"161,58","6,78",7
2019-06-14T00:20:00,"149,44","6,70",8
2019-06-15T00:20:00,"134,05","6,56",6
2019-06-16T00:20:00,"95,77","6,88",8
2019-06-17T00:20:00,"45,81","5,76",5
2019-06-18T00:20:00,"46,98","5,61",8
2019-06-19T00:20:00,"95,55","6,13",10
2019-06-20T00:20:00,"113,48","5,25",15
2019-06-21T00:20:00,"188,02","4,81",19
2019-06-22T00:20:00,"183,63","4,63",28
2019-06-23T00:20:00,"249,45","5,43",30
2019-06-24T00:20:00,"219,18","5,42",32
2019-06-25T00:20:00,"228,86","5,52",31
2019-06-26T00:20:00,"162,29","4,82",23
2019-06-27T00:20:00,"187,40","4,58",28
2019-06-28T00:20:00,"267,57","5,03",19
2019-06-29T00:20:00,"349,34","5,24",31
2019-06-30T00:20:00,"155,76","5,09",28
2019-07-01T00:20:00,"157,24","5,20",17
2019-07-02T00:20:00,"220,40","5,10",23
2019-07-03T00:20:00,"119,92","4,77",25
2019-07-04T00:20:00,"187,48","5,71",17
2019-07-05T00:20:00,"99,48","5,28",15
2019-07-06T00:20:00,"40,94","5,08",11
2019-07-07T00:20:00,"39,54","4,70",9
2019-07-08T00:20:00,"75,89","5,64",8
2019-07-09T00:20:00,"126,13","5,56",7
2019-07-10T00:20:00,"107,66","6,19",3
2019-07-11T00:20:00,"128,33","6,19",1
2019-07-12T00:20:00,"179,61","6,80",5
2019-07-13T00:20:00,"210,66","5,54",16
2019-07-14T00:20:00,"297,63","5,93",20
2019-07-15T00:20:00,"258,94","6,38",12
2019-07-16T00:20:00,"202,55","6,53",12
2019-07-17T00:20:00,"165,12","6,00",14
2019-07-18T00:20:00,"166,84","5,61",14
2019-07-19T00:20:00,"151,80","4,88",16
2019-07-20T00:20:00,"236,68","6,08",7
2019-07-21T00:20:00,"271,68","6,70",9
2019-07-22T00:20:00,"310,99","6,50",15
2019-07-23T00:20:00,"314,19","6,03",14
2019-07-24T00:20:00,"193,43","6,32",6
2019-07-25T00:20:00,"303,55","7,05",7
2019-07-26T00:20:00,"264,67","7,38",5
2019-07-27T00:20:00,"245,65","6,81",9
2019-07-28T00:20:00,"386,93","7,35",10
2019-07-29T00:20:00,"341,86","7,06",7
2019-07-30T00:20:00,"227,87","6,98",8
2019-07-31T00:20:00,"318,77","6,68",10
2019-08-01T00:20:00,"252,35","7,10",8
2019-08-02T00:20:00,"292,11","6,98",10
2019-08-03T00:20:00,"256,75","6,09",15
2019-08-04T00:20:00,"330,75","6,86",15
2019-08-05T00:20:00,"233,59","6,20",10
2019-08-06T00:20:00,"224,89","7,50",4
2019-08-07T00:20:00,"217,97","6,15",14
2019-08-08T00:20:00,"431,92","6,65",16
2019-08-09T00:20:00,"369,60","6,40",13
2019-08-10T00:20:00,"351,62","7,30",8
2019-08-11T00:20:00,"424,95","7,41",11
2019-08-12T00:20:00,"437,00","7,11",12
2019-08-13T00:20:00,"393,49","6,46",11
2019-08-14T00:20:00,"293,33","5,47",17
2019-08-15T00:20:00,"396,79","6,06",29
2019-08-16T00:20:00,"299,08","5,72",23
2019-08-17T00:20:00,"332,93","5,72",14
2019-08-18T00:20:00,"330,15","5,81",17
2019-08-19T00:20:00,"343,27","5,75",18
2019-08-20T00:20:00,"341,99","5,38",20
2019-08-21T00:20:00,"372,81","5,54",25
2019-08-22T00:20:00,"283,45","5,12",20
2019-08-23T00:20:00,"333,09","5,35",26
2019-08-24T00:20:00,"331,27","5,25",25
2019-08-25T00:20:00,"409,70","5,88",23
2019-08-26T00:20:00,"557,08","5,73",26
2019-08-27T00:20:00,"554,05","5,85",29
2019-08-28T00:20:00,"425,93","6,01",30
2019-08-29T00:20:00,"463,12","5,38",30
2019-08-30T00:20:00,"446,36","5,69",29
2019-08-31T00:20:00,"526,66","6,66",37
2019-09-01T00:20:00,"552,29","6,70",37
2019-09-02T00:20:00,"513,80","6,26",38
2019-09-03T00:20:00,"472,32","6,00",42
2019-09-04T00:20:00,"458,35","5,75",38
2019-09-05T00:20:00,"430,82","6,14",37
2019-09-06T00:20:00,"424,71","5,59",31
2019-09-07T00:20:00,"434,77","5,67",30
2019-09-08T00:20:00,"451,06","5,78",33
2019-09-09T00:20:00,"453,53","5,73",32
2019-09-10T00:20:00,"415,22","6,71",41
2019-09-11T00:20:00,"521,05","6,86",45
2019-09-12T00:20:00,"602,78","7,26",41
2019-09-13T00:20:00,"625,70","6,85",37
2019-09-14T00:20:00,"641,72","6,37",34
2019-09-15T00:20:00,"706,22","6,61",35
2019-09-16T00:20:00,"773,05","7,57",39
2019-09-17T00:20:00,"661,71","6,89",35
2019-09-18T00:20:00,"986,66","8,17",36
2019-09-19T00:20:00,"955,38","7,37",33
2019-09-20T00:20:00,"882,99","7,48",35
2019-09-21T00:20:00,"806,21","7,10",35
2019-09-22T00:20:00,"901,54","7,80",40
2019-09-23T00:20:00,"780,07","7,59",38
2019-09-24T00:20:00,"673,81","7,04",37
2019-09-25T00:20:00,"639,75","7,30",36
2019-09-26T00:20:00,"650,57","7,01",35
2019-09-27T00:20:00,"659,20","6,70",36
2019-09-28T00:20:00,"672,12","6,91",37
2019-09-29T00:20:00,"706,46","6,86",33
2019-09-30T00:20:00,"740,36","7,00",35
2019-10-01T00:20:00,"771,12","6,92",36
2019-10-02T00:20:00,"709,08","6,71",38
2019-10-03T00:20:00,"714,22","7,08",37
2019-10-04T00:20:00,"804,46","7,68",38
2019-10-05T00:20:00,"781,41","7,73",39
2019-10-06T00:20:00,"756,34","6,85",36
2019-10-07T00:20:00,"735,65","7,13",36
2019-10-08T00:20:00,"805,75","7,42",35
2019-10-09T00:20:00,"766,77","7,04",37
2019-10-10T00:20:00,"713,80","7,28",43
2019-10-11T00:20:00,"622,97","7,31",42
2019-10-12T00:20:00,"606,39","6,31",33
2019-10-13T00:20:00,"654,64","6,10",32
2019-10-14T00:20:00,"707,40","6,36",33
2019-10-15T00:20:00,"794,35","6,78",35
2019-10-16T00:20:00,"868,81","7,67",36
2019-10-17T00:20:00,"916,44","8,17",40
2019-10-18T00:20:00,"883,78","6,85",47
2019-10-19T00:20:00,"959,20","6,86",49
2019-10-20T00:20:00,"1.105,74","7,14",53
2019-10-21T00:20:00,"1.018,97","6,39",53
2019-10-22T00:20:00,"892,38","7,29",44
2019-10-23T00:20:00,"835,43","7,95",42
2019-10-24T00:20:00,"812,95","7,49",44
2019-10-25T00:20:00,"913,02","7,64",48
2019-10-26T00:20:00,"780,43","7,23",45
2019-10-27T00:20:00,"733,96","6,90",41
2019-10-28T00:20:00,"742,77","7,01",41
2019-10-29T00:20:00,"854,60","7,64",41
2019-10-30T00:20:00,"843,63","7,39",39
2019-10-31T00:20:00,"947,20","7,26",43
2019-11-01T00:20:00,"939,24","7,49",44
2019-11-02T00:20:00,"922,09","8,40",44
2019-11-03T00:20:00,"915,09","8,35",43
2019-11-04T00:20:00,"792,96","7,87",40
2019-11-05T00:20:00,"743,49","7,93",43
2019-11-06T00:20:00,"661,28","6,83",46
2019-11-07T00:20:00,"777,85","7,64",44
2019-11-08T00:20:00,"879,67","7,42",45
2019-11-09T00:20:00,"817,13","7,12",45
2019-11-10T00:20:00,"782,82","7,64",46
2019-11-11T00:20:00,"933,12","7,31",59
2019-11-12T00:20:00,"742,72","6,94",51
2019-11-13T00:20:00,"958,66","7,26",58
2019-11-14T00:20:00,"1.114,01","8,23",65
2019-11-15T00:20:00,"1.117,75","7,17",61
2019-11-16T00:20:00,"1.311,30","8,23",58
2019-11-17T00:20:00,"1.451,71","9,32",61
2019-11-18T00:20:00,"1.346,10","8,31",56
2019-11-19T00:20:00,"1.318,40","7,44",59
2019-11-20T00:20:00,"1.208,07","7,44",60
2019-11-21T00:20:00,"1.234,52","7,43",60
2019-11-22T00:20:00,"1.316,96","8,52",53
2019-11-23T00:20:00,"1.339,62","7,80",59
2019-11-24T00:20:00,"1.222,18","7,48",64
2019-11-25T00:20:00,"1.166,73","7,14",56
2019-11-26T00:20:00,"1.175,79","7,53",62
2019-11-27T00:20:00,"1.157,84","7,31",65
2019-11-28T00:20:00,"1.130,14","7,51",48
2019-11-29T00:20:00,"1.305,86","9,01",48
2019-11-30T00:20:00,"1.300,85","7,73",49
2019-12-01T00:20:00,"1.223,16","8,48",44
2019-12-02T00:20:00,"1.218,46","8,33",62
2019-12-03T00:20:00,"1.249,82","8,65",49
2019-12-04T00:20:00,"1.086,40","7,31",60
2019-12-05T00:20:00,"1.086,94","8,03",70
2019-12-06T00:20:00,"962,45","8,10",69
2019-12-07T00:20:00,"941,27","8,04",80
2019-12-08T00:20:00,"941,14","7,68",68
2019-12-09T00:20:00,"921,42","6,74",62
2019-12-10T00:20:00,"829,15","7,27",46
2019-12-11T00:20:00,"847,54","5,90",55
2019-12-12T00:20:00,"933,42","7,02",36
2019-12-13T00:20:00,"1.078,27","7,62",43
2019-12-14T00:20:00,"1.027,25","8,11",44
2019-12-15T00:20:00,"1.132,35","8,76",41
2019-12-16T00:20:00,"1.124,42","8,90",40
2019-12-17T00:20:00,"1.104,92","8,45",39
2019-12-18T00:20:00,"1.045,89","8,61",37
2019-12-19T00:20:00,"956,06","7,60",50
2019-12-20T00:20:00,"934,95","7,93",47
2019-12-21T00:20:00,"978,63","6,95",49
2019-12-22T00:20:00,"898,52","7,64",44
2019-12-23T00:20:00,"955,76","6,67",52
2019-12-24T00:20:00,"1.041,91","7,52",45
2019-12-25T00:20:00,"989,79","7,90",45
2019-12-26T00:20:00,"1.132,82","7,34",54
2019-12-27T00:20:00,"1.100,32","8,30",41
2019-12-28T00:20:00,"1.231,13","7,77",37
2019-12-29T00:20:00,"1.158,31","8,26",48
2019-12-30T00:20:00,"1.225,88","7,36",42
2019-12-31T00:20:00,"1.200,44","8,52",41
2020-01-01T00:20:00,"1.103,26","8,20",46
2020-01-02T00:20:00,"1.169,48","7,42",56
2020-01-03T00:20:00,"968,26","6,62",62
2020-01-04T00:20:00,"980,96","7,91",48
2020-01-05T00:20:00,"876,68","6,89",48
2020-01-06T00:20:00,"932,60","5,15",55
2020-01-07T00:20:00,"882,77","6,89",51
2020-01-08T00:20:00,"960,86","6,91",52
2020-01-09T00:20:00,"1.113,71","8,00",52
2020-01-10T00:20:00,"1.168,00","8,42",57
2020-01-11T00:20:00,"941,72","6,24",57
2020-01-12T00:20:00,"806,63","7,55",46
2020-01-13T00:20:00,"984,24","9,50",42
2020-01-14T00:20:00,"853,20","8,22",46
2020-01-15T00:20:00,"881,20","7,59",47
2020-01-16T00:20:00,"845,32","7,61",51
2020-01-17T00:20:00,"731,68","7,04",55
2020-01-18T00:20:00,"923,08","7,19",60
2020-01-19T00:20:00,"1.035,88","8,15",56
2020-01-20T00:20:00,"920,32","6,71",65
2020-01-21T00:20:00,"1.000,98","6,97",64
2020-01-22T00:20:00,"1.081,22","6,59",68
2020-01-23T00:20:00,"965,56","6,69",66
2020-01-24T00:20:00,"930,79","6,39",71
2020-01-25T00:20:00,"872,43","5,64",66
2020-01-26T00:20:00,"802,33","5,55",66
2020-01-27T00:20:00,"821,12","5,32",64
2020-01-28T00:20:00,"789,61","6,35",69
2020-01-29T00:20:00,"694,46","6,22",65
2020-01-30T00:20:00,"592,54","6,42",67
2020-01-31T00:20:00,"443,98","6,71",72
2020-02-01T00:20:00,"474,59","6,93",74
2020-02-02T00:20:00,"395,75","6,50",75
2020-02-03T00:20:00,"349,49","4,86",69
2020-02-04T00:20:00,"213,25","3,71",62
2020-02-05T00:20:00,"202,86","4,32",62
2020-02-06T00:20:00,"248,06","4,56",66
2020-02-07T00:20:00,"362,17","5,43",65
2020-02-08T00:20:00,"332,16","5,23",66
2020-02-09T00:20:00,"284,31","5,64",71
2020-02-10T00:20:00,"345,14","5,28",71
2020-02-11T00:20:00,"292,07","4,30",69
2020-02-12T00:20:00,"287,19","3,66",64
2020-02-13T00:20:00,"262,03","4,61",69
2020-02-14T00:20:00,"205,46","5,19",73
2020-02-15T00:20:00,"191,98","4,68",70
2020-02-16T00:20:00,"223,50","4,33",66
2020-02-17T00:20:00,"437,69","5,65",54
2020-02-18T00:20:00,"422,18","4,73",59
2020-02-19T00:20:00,"253,27","4,25",68
2020-02-20T00:20:00,"369,50","6,37",54
2020-02-21T00:20:00,"319,73","4,72",63
2020-02-22T00:20:00,"455,03","6,28",57
2020-02-23T00:20:00,"514,43","4,64",64
2020-02-24T00:20:00,"522,57","4,32",72
2020-02-25T00:20:00,"211,09","4,05",72
2020-02-26T00:20:00,"124,56","4,89",82
2020-02-27T00:20:00,"93,68","3,23",65
2020-02-28T00:20:00,"122,04","3,46",65
2020-02-29T00:20:00,"90,89","2,77",66
2020-03-01T00:20:00,"232,36","4,69",51
2020-03-02T00:20:00,"305,00","5,33",35
2020-03-03T00:20:00,"323,49","6,35",42
2020-03-04T00:20:00,"485,29","7,19",40
2020-03-05T00:20:00,"527,57","6,48",44
2020-03-06T00:20:00,"500,78","4,97",59
2020-03-07T00:20:00,"424,09","4,33",70
2020-03-08T00:20:00,"455,87","4,78",70
2020-03-09T00:20:00,"490,57","4,24",70
2020-03-10T00:20:00,"555,48","4,20",67
2020-03-11T00:20:00,"553,78","4,73",66
2020-03-12T00:20:00,"520,31","4,66",59
2020-03-13T00:20:00,"342,83","4,16",67
2020-03-14T00:20:00,"262,06","4,06",68
2020-03-15T00:20:00,"200,03","3,68",66
2020-03-16T00:20:00,"162,86","3,25",67
2020-03-17T00:20:00,"231,73","3,39",64
2020-03-18T00:20:00,"242,33","3,39",55
2020-03-19T00:20:00,"209,82","3,35",62
2020-03-20T00:20:00,"210,26","3,37",67
2020-03-21T00:20:00,"223,36","3,95",53
2020-03-22T00:20:00,"196,96","3,95",52
2020-03-23T00:20:00,"277,62","5,08",48
2020-03-24T00:20:00,"358,48","5,40",49
2020-03-25T00:20:00,"397,30","5,24",55
2020-03-26T00:20:00,"446,48","5,23",54
2020-03-27T00:20:00,"461,21","5,62",54
2020-03-28T00:20:00,"338,86","5,31",53
2020-03-29T00:20:00,"312,73","5,55",51
2020-03-30T00:20:00,"336,51","4,78",57
2020-03-31T00:20:00,"467,75","5,05",56
2020-04-01T00:20:00,"461,61","5,82",49
2020-04-02T00:20:00,"380,22","5,28",53
2020-04-03T00:20:00,"519,30","5,93",62
2020-04-04T00:20:00,"472,13","5,98",61
2020-04-05T00:20:00,"479,28","5,52",70
2020-04-06T00:20:00,"443,27","6,05",68
2020-04-07T00:20:00,"475,87","5,75",66
2020-04-08T00:20:00,"257,59","5,49",86
2020-04-09T00:20:00,"293,30","6,12",79
2020-04-10T00:20:00,"252,90","4,61",42
2020-04-11T00:20:00,"305,62","4,86",44
2020-04-12T00:20:00,"318,85","4,65",47
2020-04-13T00:20:00,"363,04","5,97",44
2020-04-14T00:20:00,"395,07","5,64",50
2020-04-15T00:20:00,"437,30","5,98",48
2020-04-16T00:20:00,"378,12","5,45",49
2020-04-17T00:20:00,"324,63","5,31",53
2020-04-18T00:20:00,"281,89","5,18",41
2020-04-19T00:20:00,"338,96","6,34",70
2020-04-20T00:20:00,"346,28","5,22",57
2020-04-21T00:20:00,"332,76","5,68",63
2020-04-22T00:20:00,"373,80","5,64",46
2020-04-23T00:20:00,"478,38","5,75",36
2020-04-24T00:20:00,"326,00","5,15",46
2020-04-25T00:20:00,"291,27","5,35",32
2020-04-26T00:20:00,"409,09","6,20",57
2020-04-27T00:20:00,"476,27","6,07",55
2020-04-28T00:20:00,"263,61","5,90",41
2020-04-29T00:20:00,"295,79","5,20",54
2020-04-30T00:20:00,"338,23","5,93",54
2020-05-01T00:20:00,"228,42","5,20",51
2020-05-02T00:20:00,"312,46","5,27",44
2020-05-03T00:20:00,"147,57","5,16",17
2020-05-04T00:20:00,"178,77","4,99",41
2020-05-05T00:20:00,"228,81","5,03",44
2020-05-06T00:20:00,"182,47","4,36",42
2020-05-07T00:20:00,"224,62","4,86",51
2020-05-08T00:20:00,"242,53","4,99",51
2020-05-09T00:20:00,"246,78","4,97",54
2020-05-10T00:20:00,"297,57","5,88",48
2020-05-11T00:20:00,"87,67","4,35",59
2020-05-12T00:20:00,"136,88","4,65",34
2020-05-13T00:20:00,"83,71","4,32",22
2020-05-14T00:20:00,"96,17","5,23",13
2020-05-15T00:20:00,"123,65","5,30",18
2020-05-16T00:20:00,"121,22","5,05",10
2020-05-17T00:20:00,"297,84","6,06",32
2020-05-18T00:20:00,"120,76","4,57",23
2020-05-19T00:20:00,"274,82","5,80",45
2020-05-20T00:20:00,"269,68","4,75",37
2020-05-21T00:20:00,"192,11","4,37",30
2020-05-22T00:20:00,"364,38","5,82",53
2020-05-23T00:20:00,"323,00","5,05",53
2020-05-24T00:20:00,"226,86","4,93",40
2020-05-25T00:20:00,"169,66","4,37",36
2020-05-26T00:20:00,"182,90","4,43",42
2020-05-27T00:20:00,"211,92","5,14",53
2020-05-28T00:20:00,"273,11","5,51",49
2020-05-29T00:20:00,"291,48","5,11",50
2020-05-30T00:20:00,"268,88","5,57",39
2020-05-31T00:20:00,"245,78","5,68",44
2020-06-01T00:20:00,"223,52","5,00",48
2020-06-02T00:20:00,"139,24","4,40",45
2020-06-03T00:20:00,"80,74","4,50",46
2020-06-04T00:20:00,"63,02","3,95",35
2020-06-05T00:20:00,"131,74","4,19",34
2020-06-06T00:20:00,"171,65","4,29",32
2020-06-07T00:20:00,"228,72","3,95",32
2020-06-08T00:20:00,"327,20","4,28",32
2020-06-09T00:20:00,"294,94","5,33",37
2020-06-10T00:20:00,"279,19","5,44",33
2020-06-11T00:20:00,"320,31","5,33",31
2020-06-12T00:20:00,"367,35","5,23",32
2020-06-13T00:20:00,"441,20","5,05",33
2020-06-14T00:20:00,"416,27","5,94",34
2020-06-15T00:20:00,"460,97","5,39",30
2020-06-16T00:20:00,"356,94","5,86",35
2020-06-17T00:20:00,"255,08","5,79",46
2020-06-18T00:20:00,"203,43","3,90",54
2020-06-19T00:20:00,"193,54","3,14",64
2020-06-20T00:20:00,"191,66","3,60",48
2020-06-21T00:20:00,"250,01","4,81",43
2020-06-22T00:20:00,"351,22","5,94",42
2020-06-23T00:20:00,"335,76","5,69",45
2020-06-24T00:20:00,"282,62","3,74",74
2020-06-25T00:20:00,"262,50","4,22",72
2020-06-26T00:20:00,"325,86","3,95",64
2020-06-27T00:20:00,"339,15","3,95",68
2020-06-28T00:20:00,"261,55","4,07",71
2020-06-29T00:20:00,"209,82","5,15",79
2020-06-30T00:20:00,"100,92","4,92",89
2020-07-01T00:20:00,"104,31","4,62",83
2020-07-02T00:20:00,"45,99","4,41",89
2020-07-03T00:20:00,"78,99","4,89",95
2020-07-04T00:20:00,"124,86","5,43",97
2020-07-05T00:20:00,"140,94","5,75",100
2020-07-06T00:20:00,"258,50","6,54",94
2020-07-07T00:20:00,"378,69","6,42",88
2020-07-08T00:20:00,"337,98","6,02",93
2020-07-09T00:20:00,"330,52","5,63",95
2020-07-10T00:20:00,"296,94","5,51",89
2020-07-11T00:20:00,"249,68","5,09",92
2020-07-12T00:20:00,"257,29","5,36",95
2020-07-13T00:20:00,"191,18","5,09",88
2020-07-14T00:20:00,"181,93","5,02",89
2020-07-15T00:20:00,"170,61","4,43",74
2020-07-16T00:20:00,"195,74","5,14",82
2020-07-17T00:20:00,"154,96","5,24",86
2020-07-18T00:20:00,"179,45","5,86",86
2020-07-19T00:20:00,"146,80","6,15",88
2020-07-20T00:20:00,"146,19","6,01",90
2020-07-21T00:20:00,"210,18","5,49",90
2020-07-22T00:20:00,"327,00","6,43",89
2020-07-23T00:20:00,"379,21","6,22",87
2020-07-24T00:20:00,"485,04","6,47",85
2020-07-25T00:20:00,"452,53","5,92",77
2020-07-26T00:20:00,"418,72","5,65",79
2020-07-27T00:20:00,"394,29","5,40",76
2020-07-28T00:20:00,"235,88","5,69",87
2020-07-29T00:20:00,"133,15","5,38",86
2020-07-30T00:20:00,"37,34","5,04",87
2020-07-31T00:20:00,"57,53","5,08",89
2020-08-01T00:20:00,"52,08","5,02",91
2020-08-02T00:20:00,"81,26","4,87",90
2020-08-03T00:20:00,"91,96","4,88",90
2020-08-04T00:20:00,"208,92","5,41",93
2020-08-05T00:20:00,"307,36","5,37",92
2020-08-06T00:20:00,"308,01","5,34",92
2020-08-07T00:20:00,"405,25","5,42",86
2020-08-08T00:20:00,"362,03","4,46",78
2020-08-09T00:20:00,"305,03","4,69",80
2020-08-10T00:20:00,"268,21","5,43",83
2020-08-11T00:20:00,"292,03","5,45",87
2020-08-12T00:20:00,"208,60","5,28",88
2020-08-13T00:20:00,"163,88","4,88",82
2020-08-14T00:20:00,"162,44","4,35",78
2020-08-15T00:20:00,"77,34","3,65",73
2020-08-16T00:20:00,"36,31","3,17",67
2020-08-17T00:20:00,"18,74","3,06",65
2020-08-18T00:20:00,"1,99","3,32",70
2020-08-19T00:20:00,"0,00","3,06",64
2020-08-20T00:20:00,"0,00","3,02",62
2020-08-21T00:20:00,"0,01","2,93",63
2020-08-22T00:20:00,"0,00","3,00",73
2020-08-23T00:20:00,"0,00","3,31",69
2020-08-24T00:20:00,"0,00","3,23",61
2020-08-25T00:20:00,"0,02","3,12",67
2020-08-26T00:20:00,"0,01","3,23",66
2020-08-27T00:20:00,"0,02","3,11",64
2020-08-28T00:20:00,"0,04","3,07",59
2020-08-29T00:20:00,"0,08","3,27",90
2020-08-30T00:20:00,"0,47","2,59",79
2020-08-31T00:20:00,"1,97","3,34",86
2020-09-01T00:20:00,"0,04","2,97",73
2020-09-02T00:20:00,"5,93","3,38",67
2020-09-03T00:20:00,"0,84","3,57",50
2020-09-04T00:20:00,"8,14","4,31",60
2020-09-05T00:20:00,"5,08","4,32",87
2020-09-06T00:20:00,"0,15","4,26",85
2020-09-07T00:20:00,"0,87","4,00",66
2020-09-08T00:20:00,"9,97","4,19",81
2020-09-09T00:20:00,"20,44","5,03",99
2020-09-10T00:20:00,"0,07","3,92",94
2020-09-11T00:20:00,"0,01","3,95",82
2020-09-12T00:20:00,"0,00","4,16",116
2020-09-13T00:20:00,"0,76","4,82",111
2020-09-14T00:20:00,"0,04","3,70",77
2020-09-15T00:20:00,"0,03","3,25",69
2020-09-16T00:20:00,"0,91","3,74",68
2020-09-17T00:20:00,"0,68","3,25",96
2020-09-18T00:20:00,"7,63","4,01",64
2020-09-19T00:20:00,"0,09","4,28",80
2020-09-20T00:20:00,"15,15","3,79",74
2020-09-21T00:20:00,"7,59","3,08",64
2020-09-22T00:20:00,"49,07","3,71",70
2020-09-23T00:20:00,"87,86","4,02",73
2020-09-24T00:20:00,"105,15","4,12",45
2020-09-25T00:20:00,"176,86","4,98",32
2020-09-26T00:20:00,"212,26","5,40",44
2020-09-27T00:20:00,"308,03","4,99",32
2020-09-28T00:20:00,"320,00","5,29",34
2020-09-29T00:20:00,"364,44","5,27",37
2020-09-30T00:20:00,"441,57","6,13",39
2020-10-01T00:20:00,"358,48","5,59",41
2020-10-02T00:20:00,"369,74","5,47",37
2020-10-03T00:20:00,"395,25","5,52",39
2020-10-04T00:20:00,"510,03","6,02",33
2020-10-05T00:20:00,"541,06","5,95",28
2020-10-06T00:20:00,"534,24","6,02",33
2020-10-07T00:20:00,"571,59","6,09",29
2020-10-08T00:20:00,"563,20","6,49",40
2020-10-09T00:20:00,"546,28","5,92",41
2020-10-10T00:20:00,"586,45","6,18",37
2020-10-11T00:20:00,"564,23","6,29",37
2020-10-12T00:20:00,"536,22","5,56",45
2020-10-13T00:20:00,"585,46","5,72",39
2020-10-14T00:20:00,"584,57","5,80",46
2020-10-15T00:20:00,"658,12","6,18",33
2020-10-16T00:20:00,"536,23","6,27",39
2020-10-17T00:20:00,"554,36","5,96",45
2020-10-18T00:20:00,"558,38","6,76",42
2020-10-19T00:20:00,"638,32","7,11",41
2020-10-20T00:20:00,"567,77","6,37",42
2020-10-21T00:20:00,"621,38","7,03",41
2020-10-22T00:20:00,"414,55","5,78",45
2020-10-23T00:20:00,"349,09","5,64",49
2020-10-24T00:20:00,"408,45","5,45",59
2020-10-25T00:20:00,"661,41","5,86",61
2020-10-26T00:20:00,"865,50","6,73",56
2020-10-27T00:20:00,"1.003,44","7,42",56
2020-10-28T00:20:00,"870,73","6,98",55
2020-10-29T00:20:00,"756,70","5,96",64
2020-10-30T00:20:00,"682,90","6,23",79
2020-10-31T00:20:00,"598,49","6,66",84
2020-11-01T00:20:00,"666,07","7,58",92
2020-11-02T00:20:00,"805,02","8,31",89
2020-11-03T00:20:00,"1.044,75","8,98",89
2020-11-04T00:20:00,"1.160,98","10,03",88
2020-11-05T00:20:00,"1.141,00","9,86",91
2020-11-06T00:20:00,"1.112,71","9,41",91
2020-11-07T00:20:00,"1.130,67","9,33",92
2020-11-08T00:20:00,"1.370,93","9,76",84
2020-11-09T00:20:00,"1.464,61","10,55",86
2020-11-10T00:20:00,"1.368,46","10,80",88
2020-11-11T00:20:00,"1.463,23","11,26",83
2020-11-12T00:20:00,"1.606,85","10,05",77
2020-11-13T00:20:00,"1.730,76","11,25",85
2020-11-14T00:20:00,"1.674,18","11,31",81
2020-11-15T00:20:00,"1.715,50","11,27",87
2020-11-16T00:20:00,"1.710,53","11,28",88
2020-11-17T00:20:00,"1.465,73","10,30",88
2020-11-18T00:20:00,"1.522,72","10,72",89
2020-11-19T00:20:00,"1.499,89","10,44",85
2020-11-20T00:20:00,"1.416,10","10,23",90
2020-11-21T00:20:00,"1.408,30","10,33",90
2020-11-22T00:20:00,"1.474,24","10,56",86
2020-11-23T00:20:00,"1.570,46","10,01",82
2020-11-24T00:20:00,"1.799,16","10,81",87
2020-11-25T00:20:00,"1.794,59","10,77",90
